step,loss
0,NA
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,0.13053105771541595
131,0.13057094812393188
132,0.1304822713136673
133,0.1304907649755478
134,0.13053767383098602
135,0.13040737807750702
136,0.13037480413913727
137,0.13052088022232056
138,0.13039425015449524
139,0.13044753670692444
140,0.13036686182022095
141,0.1302495300769806
142,0.13038326799869537
143,0.130141019821167
144,0.13023078441619873
145,0.13025161623954773
146,0.13022805750370026
147,0.1301884651184082
148,0.1302221566438675
149,0.13019949197769165
150,0.13001187145709991
151,0.13011740148067474
152,0.1302696168422699
153,0.1301131546497345
154,0.12998875975608826
155,0.12996624410152435
156,0.13004978001117706
157,0.1301185041666031
158,0.1300354152917862
159,0.13002046942710876
160,0.12976562976837158
161,0.12976311147212982
162,0.12979254126548767
163,0.12972557544708252
164,0.12963013350963593
165,0.12962976098060608
166,0.1295500099658966
167,0.12950308620929718
168,0.12938888370990753
169,0.12932166457176208
170,0.1293400228023529
171,0.12938982248306274
172,0.12941379845142365
173,0.12928451597690582
174,0.12928158044815063
175,0.12924185395240784
176,0.1292218118906021
177,0.12922216951847076
178,0.12921935319900513
179,0.12920458614826202
180,0.12920793890953064
181,0.12920358777046204
182,0.129197359085083
183,0.12920737266540527
184,0.12919901311397552
185,0.1291859894990921
186,0.12917637825012207
187,0.12917454540729523
188,0.12916512787342072
189,0.1291636973619461
190,0.12916070222854614
191,0.12916095554828644
192,0.12915346026420593
193,0.12915530800819397
194,0.1291516125202179
195,0.12914636731147766
196,0.12914514541625977
197,0.1291452795267105
198,0.12914320826530457
199,0.12914076447486877
